URL,Guide Name,Average Rating,Number of Ratings,Unique Visitors,Current Subscribers,Current Favorites,Number of Comments
http://steamcommunity.com/sharedfiles/filedetails/?id=140111731,6.85 - Standard Skywrath Mage (Lane) Build,5,273058 ,21937,884503,145,46 
http://steamcommunity.com/sharedfiles/filedetails/?id=134962374,6.85 - Standard Bristleback (Lane) Build,5,200959 ,20425,725992,114,46 
http://steamcommunity.com/sharedfiles/filedetails/?id=129403206,6.85 - Standard Medusa (Lane) Build,5,287257 ,6439,947063,92,10 
http://steamcommunity.com/sharedfiles/filedetails/?id=129402805,6.85 - Standard Naga Siren (Lane) Build,5,160399 ,4112,637778,81,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=129402256,6.85 - Standard Meepo (Lane) Build,5,199143 ,4667,728780,66,10 
http://steamcommunity.com/sharedfiles/filedetails/?id=129400942,6.85 - Standard Spectre (Lane) Build,5,258897 ,5770,974830,105,6 
http://steamcommunity.com/sharedfiles/filedetails/?id=129400559,6.85 - Standard Weaver (Middle) Build,5,200683 ,3374,631281,65,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=129400259,6.85 - Standard Viper (Middle) Build,5,283754 ,5203,1026108,110,10 
http://steamcommunity.com/sharedfiles/filedetails/?id=129399862,6.85 - Standard Lone Druid (Lane) Build,5,178910 ,4404,584175,80,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=129399377,6.85 - Standard Gyrocopter (Lane) Build,5,247059 ,3514,913601,72,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=129381491,6.85 - Standard Mirana (Lane) Build,5,349122 ,4300,1128726,104,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=129334727,6.85 - Standard Invoker (Middle) Build,5,97078 ,3030,521594,65,6 
http://steamcommunity.com/sharedfiles/filedetails/?id=129332786,6.85 - Standard Outworld Devourer (Middle) Build,5,151410 ,3749,627028,73,2 
http://steamcommunity.com/sharedfiles/filedetails/?id=129332354,6.85 - Standard Batrider (Middle) Build,5,117207 ,2943,535520,69,2 
http://steamcommunity.com/sharedfiles/filedetails/?id=129331714,6.85 - Standard Dark Seer (Lane) Build,5,202890 ,4029,776903,90,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=129323738,6.85 - Standard Death Prophet (Middle) Build,5,118346 ,3710,494110,86,7 
http://steamcommunity.com/sharedfiles/filedetails/?id=129204328,6.85 - Standard Queen of Pain (Middle) Build,5,283716 ,4811,1014304,111,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=129193377,6.85 - Standard Necrophos (Lane) Build,5,427816 ,8728,1307281,167,17 
http://steamcommunity.com/sharedfiles/filedetails/?id=129191918,6.85 - Standard Witch Doctor (Lane) Build,5,348245 ,5437,1058841,143,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=129157199,6.85 - Standard Tinker (Middle) Build,5,158055 ,3674,613354,69,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=129149991,6.85 - Standard Windranger (Lane) Build,5,318525 ,5657,1105590,121,6 
http://steamcommunity.com/sharedfiles/filedetails/?id=129143802,6.85 - Standard Storm Spirit (Middle) Build,5,336915 ,4796,1154870,107,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=129137630,6.85 - Standard Earthshaker (Lane) Build,5,357197 ,4748,1176230,99,7 
http://steamcommunity.com/sharedfiles/filedetails/?id=129134687,6.85 - Standard Beastmaster (Lane) Build,5,114790 ,3195,519673,64,2 
http://steamcommunity.com/sharedfiles/filedetails/?id=129130896,6.85 - Standard Omniknight (Lane) Build,5,246896 ,4865,868911,114,7 
http://steamcommunity.com/sharedfiles/filedetails/?id=129119115,6.85 - Standard Huskar (Middle) Build,5,309396 ,4231,1021178,87,10 
http://steamcommunity.com/sharedfiles/filedetails/?id=129111538,6.85 - Standard Alchemist (Lane) Build,5,125766 ,4078,563440,76,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=129109889,6.85 - Standard Brewmaster (Lane) Build,5,200939 ,3848,787268,81,2 
http://steamcommunity.com/sharedfiles/filedetails/?id=129107725,6.85 - Standard Treant Protector (Lane) Build,5,161776 ,4364,623293,85,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=129105276,6.85 - Standard Timbersaw (Lane) Build,5,304945 ,4495,1051299,88,2 
http://steamcommunity.com/sharedfiles/filedetails/?id=129102427,6.85 - Standard Slardar (Lane) Build,5,261934 ,3735,940574,88,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=129100110,6.85 - Standard Sand King (Lane) Build,5,351323 ,4535,1181741,112,6 
http://steamcommunity.com/sharedfiles/filedetails/?id=129098268,6.85 - Standard Doom (Lane) Build,5,104714 ,2911,470759,57,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=129096483,6.85 - Standard Venomancer (Lane) Build,5,249674 ,5498,893083,105,1 
http://steamcommunity.com/sharedfiles/filedetails/?id=129093311,6.85 - Standard Phantom Lancer (Lane) Build,5,411455 ,5730,1345698,110,11 
http://steamcommunity.com/sharedfiles/filedetails/?id=129085778,6.85 - Standard Shadow Shaman (Lane) Build,5,291596 ,4393,914269,113,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=129083818,6.85 - Standard Juggernaut (Lane) Build,5,414687 ,6794,1324839,203,14 
http://steamcommunity.com/sharedfiles/filedetails/?id=129081331,6.85 - Standard Chen (Jungle) Build,5,230717 ,3706,869341,80,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=129081035,6.85 - Standard Shadow Fiend (Middle) Build,5,336512 ,4894,1159633,106,8 
http://steamcommunity.com/sharedfiles/filedetails/?id=129079469,6.85 - Standard Sven (Lane) Build,5,455438 ,7277,1393834,216,8 
http://steamcommunity.com/sharedfiles/filedetails/?id=129076227,6.85 - Standard Morphling (Lane) Build,5,280210 ,4707,1026306,90,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=129072324,6.85 - Standard Silencer (Lane) Build,5,207444 ,3777,748274,93,8 
http://steamcommunity.com/sharedfiles/filedetails/?id=129069615,6.85 - Standard Tusk (Lane) Build,5,210971 ,3798,805569,90,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=129067853,6.85 - Standard Lina (Lane) Build,5,225046 ,3859,840660,92,4 
http://steamcommunity.com/sharedfiles/filedetails/?id=129065509,6.85 - Standard Zeus (Middle) Build,5,261464 ,5148,894798,113,5 
http://steamcommunity.com/sharedfiles/filedetails/?id=129064094,6.85 - Standard Tiny (Middle) Build,5,130693 ,3429,536489,68,3 
http://steamcommunity.com/sharedfiles/filedetails/?id=129063701,6.85 - Standard Luna (Lane) Build,5,359235 ,8032,1138500,167,8 
